@letter,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16
J,2,2,4,4,2,10,6,2,6,12,3,8,1,6,1,7
P,5,10,7,7,6,7,7,8,4,7,6,7,3,9,8,9
T,5,11,5,8,3,7,10,2,9,11,9,4,1,11,3,5
L,3,6,4,4,2,5,5,1,9,6,2,10,0,7,2,7
M,6,11,9,8,12,9,7,3,3,8,4,7,12,5,4,5
K,3,6,4,4,4,6,7,3,6,6,5,9,3,8,4,9
W,4,5,5,3,3,3,10,2,2,10,10,8,6,11,1,7
P,1,3,3,1,1,7,10,3,3,12,5,4,1,9,2,8
J,2,7,3,5,2,8,7,1,6,11,5,8,1,6,1,6
N,5,5,7,5,6,8,6,5,5,8,5,7,7,9,5,4
C,3,5,4,4,2,3,9,4,7,11,10,12,1,9,2,6
G,7,10,9,8,9,7,5,6,3,7,6,10,5,8,7,8
T,4,11,5,8,4,6,11,1,8,8,11,8,1,11,1,7
U,9,10,9,8,7,5,7,5,8,8,5,9,7,9,6,2
D,3,6,5,4,3,10,6,4,7,11,3,6,3,8,3,9
G,5,5,6,8,3,7,6,8,8,6,5,10,2,8,6,11
F,4,5,4,8,2,1,14,5,4,12,10,6,0,8,2,6
D,3,4,5,3,2,10,6,3,7,10,3,6,2,8,3,9
N,3,5,6,4,3,7,9,2,5,10,6,6,5,9,1,7
M,6,8,8,6,6,11,6,2,4,9,3,6,8,6,2,8
H,5,7,8,5,6,5,9,3,6,10,9,9,3,9,3,6
H,11,13,10,8,5,8,8,4,5,9,6,7,6,9,5,9
U,1,0,2,0,0,7,6,10,4,7,12,8,2,10,0,8
Q,2,3,3,4,3,8,8,5,2,8,8,9,2,9,5,8
N,4,8,6,6,3,7,8,3,4,10,6,7,5,8,1,7
Z,4,10,4,8,4,7,8,3,12,9,6,8,0,8,7,7
L,2,3,3,2,1,4,4,4,7,2,2,6,0,7,1,6
K,6,9,9,7,5,9,6,2,7,10,3,8,4,7,5,10
H,2,1,3,3,3,7,7,5,5,7,6,8,3,8,2,8
W,3,1,5,2,3,8,11,3,2,6,9,8,7,11,0,7
U,4,9,4,7,2,8,5,14,5,6,14,8,3,9,0,8
L,3,9,5,7,3,7,5,1,7,8,2,10,0,6,2,8
Y,1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
P,5,8,7,6,6,8,9,6,4,10,4,4,3,11,4,9
F,3,5,5,3,2,6,11,3,5,13,7,4,1,10,1,7
I,1,4,2,3,1,7,7,0,6,13,6,8,0,8,0,8
V,3,9,5,7,1,7,8,4,2,7,14,8,3,9,0,8
Q,2,0,2,1,1,9,7,6,4,6,6,9,2,8,3,8
Z,6,11,8,9,5,7,8,3,11,12,7,8,2,9,7,8
O,2,3,3,2,2,8,7,7,4,9,6,9,2,8,3,8
E,7,11,10,8,6,8,7,2,9,11,6,9,5,7,6,8
N,2,1,3,3,2,7,8,5,4,8,7,8,4,8,1,7
I,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
O,7,10,7,8,5,7,7,8,6,9,7,10,4,7,5,5
D,4,9,6,6,5,7,8,7,5,8,7,6,3,8,3,7
P,6,10,9,8,5,7,10,2,7,14,6,4,0,10,2,9
I,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8
S,5,7,6,5,3,8,7,3,8,11,6,8,2,10,5,8
W,6,9,6,7,5,4,10,3,3,9,8,7,7,11,2,5
H,3,3,4,4,2,7,7,14,1,7,7,8,3,8,0,8
D,5,10,5,8,3,5,7,10,9,7,6,5,3,8,4,8
I,4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7
J,4,10,6,8,6,9,8,4,4,9,3,7,4,8,7,5
U,5,11,5,8,4,8,5,12,4,7,13,8,3,9,0,8
S,4,10,6,8,7,8,8,5,3,8,5,7,4,9,11,8
R,7,13,7,7,6,8,7,3,5,9,4,8,6,6,7,6
Q,5,11,5,6,3,10,4,4,7,11,3,9,3,7,8,11
K,6,9,9,7,5,9,6,2,7,10,3,9,7,7,6,9
B,3,4,5,3,3,8,7,3,5,10,5,7,2,8,4,9
Z,3,7,5,5,3,8,7,2,9,11,5,7,1,7,6,8
Q,5,7,6,9,7,9,7,7,2,5,6,10,3,9,6,9
G,5,9,5,6,3,6,7,6,7,10,8,10,2,9,4,9
B,3,1,3,2,3,7,7,5,5,7,6,6,2,8,6,9
H,4,5,6,7,6,7,8,4,1,8,6,6,4,10,8,5
F,2,4,4,3,1,6,12,3,5,13,7,4,1,9,2,6
L,2,3,2,2,1,4,3,5,7,2,2,5,0,7,1,6
N,2,1,2,1,1,7,7,12,1,5,6,8,5,8,0,8
T,3,5,4,4,4,6,8,4,7,7,7,9,3,10,6,7
D,2,4,4,2,2,8,7,4,6,10,5,6,2,8,3,8
A,2,8,4,6,2,12,2,4,3,11,2,10,2,6,4,9
G,1,3,2,1,1,6,7,5,4,9,7,10,2,8,4,9
H,4,8,5,6,4,7,8,6,6,7,6,7,3,8,3,7
F,2,3,2,2,1,5,11,4,4,11,9,5,1,9,3,7
Y,6,10,8,8,8,8,5,6,5,8,7,8,6,9,7,3
X,4,4,5,6,1,7,7,5,4,7,6,8,3,8,4,8
Y,3,7,5,5,2,7,11,1,3,8,11,8,1,10,0,8
B,4,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10
D,4,7,5,5,8,9,8,4,5,7,6,6,4,6,8,7
F,4,6,6,7,7,8,9,5,5,7,5,8,5,8,8,6
N,3,8,4,6,4,7,7,12,1,6,6,8,5,8,0,8
H,6,6,6,8,3,7,8,15,0,7,5,8,3,8,0,8
K,4,11,6,8,5,5,6,5,8,6,7,12,3,8,6,10
R,4,3,4,4,2,6,9,8,4,6,5,8,2,8,5,10
V,6,9,5,7,4,3,11,2,2,9,10,8,3,11,1,7
M,4,5,4,7,4,7,7,12,2,7,9,8,8,5,0,8
P,9,13,9,7,6,8,9,4,4,12,4,4,5,10,6,6
V,3,7,5,5,2,8,9,4,2,6,13,8,3,10,0,8
R,5,10,7,7,6,6,7,5,6,6,5,7,3,7,5,8
D,6,9,6,4,3,8,5,4,5,9,4,7,4,7,5,10
K,7,9,10,7,6,9,6,2,7,10,3,8,7,8,6,10
E,5,10,4,5,2,6,9,5,7,10,7,9,1,9,7,8
S,6,11,6,6,3,6,8,5,3,13,9,8,3,10,3,8
Q,5,10,7,9,4,8,5,9,8,5,4,8,3,8,4,8
M,4,4,6,3,3,7,6,3,4,9,7,8,7,5,2,8
C,6,11,8,8,6,7,6,9,6,8,6,11,4,9,4,8
P,3,5,6,4,3,8,10,3,4,12,4,3,1,10,3,8
J,2,4,3,7,1,12,3,9,4,13,5,12,1,6,0,8
L,1,3,3,2,1,6,5,2,9,7,2,10,0,7,2,8
W,3,8,5,6,4,6,10,2,3,7,9,8,7,11,0,8
X,5,6,6,5,6,6,7,2,5,8,7,10,3,8,7,8
Q,5,7,6,7,5,8,8,7,4,6,6,10,3,8,4,8
U,4,7,4,5,3,7,5,13,5,7,11,8,3,9,0,8
V,4,6,4,4,2,3,12,4,3,10,11,7,2,10,1,8
C,4,8,5,6,2,6,7,7,10,8,6,13,1,9,4,8
S,4,6,5,5,5,8,8,4,5,7,7,8,5,9,8,11
B,4,9,5,6,6,7,7,6,6,6,6,6,2,8,6,9
D,4,7,4,5,2,5,8,10,9,8,7,6,3,8,4,8
Q,1,2,2,3,2,8,8,5,2,8,6,8,2,9,2,8
S,3,7,4,5,3,7,7,5,7,5,6,10,0,9,8,7
P,1,1,2,1,0,5,11,7,2,9,6,4,1,9,3,8
Z,2,3,2,2,2,7,7,5,8,6,6,8,1,8,6,8
X,2,2,3,3,2,8,7,3,8,6,6,8,2,8,5,9
T,4,7,4,5,2,5,11,1,8,11,9,5,0,10,2,4
U,3,6,4,4,4,8,8,6,5,6,7,9,3,8,3,7
K,5,11,6,8,5,4,6,7,3,7,7,12,4,8,3,11
F,1,3,2,2,1,5,10,4,4,10,8,5,1,9,3,7
Y,2,1,2,1,0,7,9,2,2,6,12,8,1,10,0,8
X,5,8,8,6,4,9,7,1,8,10,4,7,3,9,4,9
L,5,11,7,8,5,10,4,1,8,10,2,10,0,6,3,10
V,4,10,6,8,2,8,8,4,3,6,14,8,3,9,0,8
F,4,9,6,7,4,3,12,5,4,12,9,5,2,10,2,5
E,1,3,3,1,1,6,8,2,7,11,8,9,1,8,3,8
B,3,5,5,3,3,9,6,2,6,10,4,7,4,7,6,9
X,4,7,4,4,1,7,7,5,4,7,6,8,3,8,4,8
N,4,9,6,7,4,7,8,6,5,7,7,7,6,9,2,6
U,2,3,3,2,1,4,8,4,5,11,10,9,3,9,1,6
D,3,10,5,8,8,9,8,4,5,7,6,6,4,7,8,5
Q,4,10,6,8,6,8,6,7,4,5,7,11,6,7,8,8
S,6,11,7,8,5,9,7,3,6,10,4,7,2,9,5,9
U,3,7,5,6,5,7,7,4,4,6,6,9,4,8,1,8
N,4,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8
B,3,3,4,4,3,6,8,8,7,7,5,7,2,8,9,10
P,2,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
F,6,11,8,8,5,8,9,3,6,13,5,4,2,9,3,7
Z,5,8,7,6,4,7,8,2,10,12,7,8,1,9,6,7
D,3,5,5,3,3,7,7,6,7,7,6,5,2,8,3,7
Y,2,4,4,6,1,7,10,1,3,7,12,8,1,11,0,8
C,5,10,6,7,4,7,7,8,7,6,6,9,4,8,4,8
F,3,4,5,3,2,8,9,2,7,13,5,5,2,9,3,8
X,4,5,6,4,3,7,7,1,9,10,6,8,2,8,3,7
J,3,10,5,7,2,7,8,2,7,15,5,8,0,6,1,7
H,4,5,7,4,4,7,7,3,6,10,6,8,3,8,3,7
W,4,7,6,5,6,7,7,6,2,7,8,8,6,8,4,8
D,2,3,3,2,2,9,6,4,6,10,4,6,2,8,2,9
N,4,8,6,6,3,4,9,4,4,10,10,9,5,8,1,7
R,6,11,8,8,8,7,9,6,5,8,6,8,5,8,7,12
O,6,10,7,8,6,8,5,9,5,5,5,5,5,8,5,8
S,4,9,6,7,8,7,6,3,2,7,5,7,3,7,12,2
Y,8,10,8,8,4,3,10,3,7,12,12,7,1,11,2,5
Z,2,3,3,2,2,7,8,5,9,6,6,9,1,8,7,8
T,3,5,4,4,2,6,12,2,7,8,11,7,1,11,1,7
J,3,4,4,6,1,11,2,10,3,13,8,14,1,6,0,8
D,4,8,6,6,8,9,9,4,4,8,7,5,4,9,8,6
A,1,3,2,2,1,10,2,2,1,9,2,9,1,6,2,8
X,3,7,4,4,1,7,7,4,4,7,6,8,3,8,4,8
U,5,5,6,4,3,5,8,5,8,10,8,9,3,9,3,5
N,5,6,7,4,3,5,9,3,5,11,9,9,5,8,1,7
K,3,7,3,5,1,3,7,7,3,7,6,11,4,8,2,11
M,2,3,3,2,2,8,7,5,4,6,7,8,5,6,1,7
Q,2,2,3,3,2,8,7,6,2,5,6,9,2,9,4,9
M,3,4,5,2,3,9,6,3,4,9,4,6,8,6,2,8
S,6,10,7,7,4,10,5,4,8,11,4,8,2,9,5,10
T,4,11,5,8,2,7,15,1,6,8,11,8,0,8,0,8
M,3,6,4,4,3,7,5,10,1,7,8,8,7,5,0,9
G,4,7,5,5,3,5,8,6,6,9,8,9,2,7,4,9
N,9,15,7,8,4,6,9,4,5,4,5,11,6,11,2,7
Z,4,7,6,5,3,6,9,3,9,12,9,7,1,9,6,5
T,3,10,5,7,1,7,15,1,6,7,11,8,0,8,0,8
D,4,5,5,4,4,7,7,7,7,7,6,5,2,8,3,7
H,10,13,11,8,7,9,6,4,5,11,3,7,6,7,5,7
L,3,6,4,4,2,5,3,1,8,8,2,10,0,7,2,7
Z,2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,8
H,2,1,3,2,2,9,7,6,5,7,6,6,3,8,3,7
K,5,10,5,7,2,4,8,9,2,7,6,11,4,8,2,11
F,5,11,5,8,4,1,13,4,4,12,10,7,0,8,2,6
M,7,8,9,6,6,10,5,3,5,9,3,6,10,6,2,9
V,2,3,3,2,1,7,12,2,2,7,11,8,2,11,1,8
G,8,12,7,6,5,7,6,3,3,8,5,7,4,9,9,7
K,7,13,8,7,5,7,8,2,6,10,4,8,5,5,4,7
P,2,3,2,1,1,6,10,5,4,9,7,4,1,9,3,7
U,4,4,4,3,2,4,8,5,7,11,10,9,3,9,2,6
C,5,7,7,6,6,5,6,4,5,7,6,11,4,10,7,10
A,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3
P,4,7,6,11,11,8,6,5,1,7,6,7,7,9,7,10
F,5,9,7,6,7,9,7,1,5,9,5,5,5,10,4,6
E,4,5,5,5,5,7,9,5,5,7,8,11,5,9,7,9
A,3,10,5,8,4,12,3,2,2,9,2,8,2,6,2,8
Q,4,9,5,11,5,9,8,8,2,4,7,11,4,9,6,9
Y,3,4,4,3,1,4,11,2,7,11,10,5,1,11,2,5
Q,5,10,7,8,6,8,4,8,5,6,4,8,3,8,3,8
I,3,7,5,5,4,12,5,1,6,8,4,5,2,8,4,8
W,4,7,6,5,5,7,11,1,2,7,8,8,6,12,1,8
X,4,8,5,6,4,8,7,3,8,5,6,7,3,9,7,7
O,6,11,6,8,6,7,6,7,4,10,5,10,5,7,4,7
U,9,12,8,6,3,5,4,5,5,4,8,7,6,7,2,7
J,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8
W,9,12,8,6,4,1,8,4,2,11,12,9,7,10,0,7
Z,3,8,4,6,2,7,7,4,13,9,6,8,0,8,8,8
C,8,15,6,8,5,5,10,4,5,9,7,8,3,9,9,9
D,2,4,3,2,2,7,7,6,6,7,7,5,2,8,2,7
P,4,8,6,11,10,8,9,4,0,8,7,6,8,10,6,8
Y,3,5,5,4,2,6,10,1,8,8,12,8,1,11,2,7
A,6,9,9,8,8,8,7,3,5,7,7,7,5,8,4,5
C,5,11,5,8,4,4,7,5,6,11,9,14,2,10,4,7
T,3,5,4,6,1,5,14,1,6,9,11,7,0,8,0,8
H,2,6,2,4,2,7,8,12,1,7,5,8,3,8,0,8
E,5,8,7,6,7,7,7,3,6,7,7,11,4,10,8,9
D,3,8,4,6,2,5,7,10,8,6,5,5,3,8,4,8
Y,4,8,6,6,6,8,7,5,4,7,8,8,6,8,7,4
W,7,10,7,5,4,5,8,1,3,8,10,8,9,11,2,6
E,6,11,8,8,9,6,6,3,6,8,7,12,5,9,9,8
C,5,9,7,8,8,5,6,4,5,7,6,11,5,11,8,11
S,3,4,5,3,2,8,6,3,7,10,4,8,1,8,4,10
M,7,8,10,6,6,9,6,2,5,9,6,8,8,6,2,8
N,6,10,5,6,3,7,9,4,5,4,5,10,5,10,2,7
S,5,6,6,8,3,8,7,6,9,4,6,8,0,8,9,8
P,4,8,6,6,4,4,12,6,4,11,8,3,0,10,4,7
W,7,7,10,6,10,8,7,5,5,7,5,8,10,9,8,7
Q,7,10,9,8,8,8,3,8,4,6,6,8,4,8,6,9
R,3,8,4,5,2,5,11,8,3,7,3,8,3,7,6,11
Z,3,6,4,4,2,7,7,4,14,9,6,8,0,8,8,8
R,3,3,3,4,2,5,10,8,4,7,4,8,2,7,5,11
Z,3,7,4,5,3,6,7,5,9,7,7,9,1,9,7,8
P,4,8,6,6,4,5,13,7,2,12,6,2,1,10,3,8
G,1,3,2,1,1,7,7,5,5,10,7,10,2,9,3,10
M,5,6,8,5,8,9,8,5,4,7,6,7,11,9,7,5
W,6,8,9,7,11,9,6,5,5,8,6,8,11,12,8,6
B,4,11,5,8,7,6,8,9,6,7,5,7,2,7,8,10
R,2,6,3,4,3,5,10,7,4,7,4,9,2,6,5,11
W,13,13,12,7,5,1,9,5,3,12,13,9,8,9,0,7
N,5,9,7,7,4,5,9,3,4,10,8,8,5,8,1,7
O,3,6,5,4,5,8,7,5,1,7,6,8,8,8,4,9
N,3,4,5,3,2,9,8,3,5,10,3,5,4,9,1,7
G,2,3,3,2,1,7,7,5,6,10,6,10,2,9,3,9
F,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6
O,6,9,6,7,6,8,6,7,4,9,4,8,3,9,3,7
Y,2,4,3,3,1,3,11,3,5,12,10,6,1,10,1,6
B,4,7,5,5,5,8,6,6,7,6,6,6,2,8,7,10
B,6,9,5,4,3,10,6,6,5,11,4,9,5,7,6,11
L,2,4,2,3,1,4,4,4,8,2,1,6,0,7,1,6
C,5,9,5,7,3,4,10,7,8,13,10,8,2,10,2,6
R,3,8,4,6,4,6,10,7,4,7,4,9,2,6,5,11
D,3,5,5,4,3,9,6,4,7,10,4,6,2,8,3,8
M,7,9,10,6,6,10,5,2,6,9,4,7,8,6,2,8
Z,7,10,5,14,5,7,10,3,3,11,7,7,3,8,14,7
J,1,6,2,4,1,14,2,6,5,13,2,10,0,7,0,8
L,3,6,5,4,3,6,4,1,8,8,2,11,0,7,2,8
Z,7,10,7,6,4,8,6,2,8,12,6,9,3,8,6,7
P,5,7,7,5,3,6,14,5,2,12,4,1,0,10,3,8
J,1,6,2,4,0,13,3,7,4,13,3,11,0,7,0,8
Z,4,9,5,7,4,7,8,3,13,8,6,8,0,8,8,7
C,2,4,3,3,1,6,8,7,7,8,8,13,1,10,4,10
X,3,7,4,4,1,7,7,4,4,7,6,8,3,8,4,8
U,2,3,3,2,1,8,8,5,6,5,9,8,3,10,0,8
Q,2,2,3,4,2,8,7,6,2,6,6,9,2,9,5,9
A,5,9,7,7,5,8,2,2,2,6,2,7,3,8,4,7
T,3,2,4,3,2,6,12,3,7,8,11,7,2,11,1,7
U,2,3,3,2,1,5,8,5,6,10,9,8,3,9,1,6
G,2,1,3,2,2,7,7,5,5,6,6,10,2,9,3,9
S,2,4,3,2,1,8,8,2,7,10,5,7,1,8,4,8
X,3,7,4,4,1,7,7,4,4,7,6,8,3,8,4,8
I,4,9,4,4,2,8,8,2,5,13,5,5,2,9,4,9
O,5,9,6,6,5,7,8,8,4,7,8,8,3,7,3,8
G,3,7,4,5,5,8,7,4,1,7,6,9,6,8,6,12
E,2,4,3,3,2,7,7,5,7,7,7,9,2,8,5,9
M,3,1,4,2,3,7,6,6,5,6,7,7,8,6,2,7
H,4,5,6,8,6,7,5,5,2,6,4,6,5,7,8,8
P,3,7,5,5,4,5,10,4,4,10,8,4,1,10,3,7
E,4,10,5,8,7,7,8,3,6,5,7,10,5,10,10,11
C,4,8,5,6,2,5,9,7,8,12,9,11,1,10,3,7
B,5,11,7,8,7,9,6,3,7,10,4,8,3,7,5,10
O,4,6,4,4,3,6,8,7,4,10,8,8,3,8,2,7
N,11,14,9,8,4,10,12,6,4,4,6,10,5,11,2,5
A,2,1,4,2,1,7,2,2,2,6,2,8,2,6,2,7
N,4,9,6,7,4,7,8,6,5,7,6,6,6,9,2,5
A,4,6,7,8,2,8,6,3,1,7,0,8,3,7,2,8
U,8,10,8,8,5,4,8,5,9,11,10,9,3,9,2,6
A,6,9,5,4,2,11,3,3,1,9,3,10,4,5,4,10
D,5,10,5,6,4,6,8,4,6,9,6,6,5,9,6,5
R,5,9,5,4,4,9,7,4,6,10,2,6,5,5,5,6
M,3,7,4,5,5,8,7,6,3,7,5,8,5,9,5,8
X,7,11,6,6,3,5,8,3,9,10,9,10,4,7,4,5
J,2,7,2,5,1,14,2,6,5,14,1,10,0,7,0,8
G,3,8,4,6,2,7,6,7,8,6,6,8,1,8,6,11
Z,9,10,7,14,6,8,7,4,2,12,6,8,3,9,13,6
G,4,8,6,7,6,7,8,5,3,7,6,9,6,11,8,10
P,3,7,4,4,2,4,13,8,1,11,6,3,1,10,4,8
K,5,4,5,6,2,4,9,8,2,7,4,11,4,8,3,10
R,5,9,7,7,8,5,8,4,5,6,5,9,7,6,10,7
R,4,5,6,4,3,9,7,2,6,10,3,6,2,7,3,10
F,4,7,6,5,3,7,10,3,5,13,6,5,2,10,2,7
Q,8,9,10,8,9,8,4,4,4,8,4,11,6,6,8,7
W,3,1,5,1,2,6,11,3,2,7,9,9,6,11,0,8
T,6,13,6,7,4,7,9,2,7,12,6,6,2,9,5,5
K,2,3,4,1,2,4,9,2,6,10,9,10,3,8,2,6
N,5,10,7,7,4,10,7,3,5,10,2,5,6,9,1,7
U,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,7
X,4,6,5,8,2,7,7,4,4,7,6,8,3,8,4,8
M,5,9,6,7,6,8,6,6,5,6,7,8,8,6,2,7
L,3,10,5,8,4,7,4,2,7,7,2,9,1,6,3,8
Q,5,9,5,4,3,8,5,4,7,10,5,9,3,8,9,10
O,3,6,4,4,2,7,6,8,5,7,5,9,3,8,3,8
N,5,9,7,6,4,7,8,6,6,7,7,6,6,10,2,5
U,4,3,5,5,2,7,4,14,5,7,14,8,3,9,0,8
N,8,12,7,6,3,7,10,4,6,3,5,9,5,9,2,7
B,4,2,4,4,4,7,7,5,5,6,6,6,2,8,6,9
P,6,6,8,8,9,6,7,5,3,8,7,6,7,13,6,9
X,3,8,4,6,3,7,7,4,4,7,6,8,3,8,4,8
L,7,13,6,7,3,8,3,3,5,11,4,13,2,7,6,8
S,1,0,1,1,0,8,7,4,6,5,6,8,0,8,7,8
T,2,7,3,4,1,7,14,0,6,7,11,8,0,8,0,8
A,4,9,6,6,5,6,5,3,3,4,1,6,4,5,4,6
L,4,9,6,6,7,6,7,3,6,7,7,11,6,11,6,5
T,7,9,7,7,4,4,13,5,6,12,9,3,2,12,2,4
Y,6,9,5,4,3,6,8,4,5,10,7,5,3,9,4,4
J,3,9,4,7,1,12,2,9,4,14,5,13,1,6,0,8
L,2,0,2,1,0,2,0,6,4,0,3,4,0,8,0,8
H,3,8,4,5,2,7,9,15,2,7,3,8,3,8,0,8
B,4,9,4,7,5,6,8,8,6,7,5,7,2,8,7,9
A,6,11,8,8,8,8,7,6,5,6,6,9,6,8,7,3
H,3,3,4,4,2,7,5,14,1,7,9,8,3,9,0,8
L,3,8,3,6,1,0,1,5,6,0,0,6,0,8,0,8
Y,4,5,5,7,6,9,9,6,3,6,8,8,5,10,6,4
B,4,9,6,6,8,9,7,4,3,6,7,7,6,10,7,6
U,7,11,8,8,5,3,8,5,7,10,9,9,3,9,2,6
H,1,1,2,1,1,7,8,11,1,7,5,8,3,8,0,8
J,2,7,2,5,1,11,7,1,7,11,3,6,0,7,1,7
N,3,6,3,4,2,7,7,13,1,5,6,8,5,8,0,8
R,2,1,3,2,2,6,7,4,5,6,5,7,5,7,3,8
S,5,10,6,8,3,9,8,6,9,5,6,5,0,8,9,7
A,2,3,4,2,1,8,2,2,2,7,2,8,2,6,2,7
I,4,10,5,8,3,7,7,0,8,14,6,8,0,8,1,8
Q,3,6,4,8,4,9,7,7,3,5,7,10,3,9,5,10
S,4,10,4,5,2,9,3,3,4,9,2,9,3,6,4,9
P,3,5,6,4,3,7,10,4,4,12,5,3,1,10,3,8
J,3,7,5,5,2,7,4,5,4,14,9,14,1,6,1,6
H,6,7,8,9,7,9,8,3,1,8,6,8,4,9,9,9
C,4,7,5,6,6,6,5,4,5,7,5,11,5,10,7,11
P,3,5,5,4,3,7,10,4,4,12,4,3,1,10,3,8
L,5,11,5,6,3,6,6,3,6,11,6,11,3,7,6,8
E,3,4,3,7,2,3,7,6,10,7,6,15,0,8,7,7
R,9,11,7,6,4,8,7,5,5,10,3,8,6,6,6,11
P,6,11,6,8,3,4,13,9,2,10,6,3,1,10,4,8
H,7,10,9,8,6,10,6,3,6,10,3,7,5,6,5,9
T,1,1,2,1,0,7,14,1,4,7,10,8,0,8,0,8
D,3,6,3,4,2,6,8,9,8,8,7,6,3,8,3,8
A,7,11,5,6,3,10,0,2,2,10,4,12,3,4,3,8
Q,4,7,6,7,3,8,8,7,6,5,7,8,3,8,5,9
N,5,9,8,7,5,7,9,2,4,10,5,6,5,9,1,7
E,2,3,2,4,1,3,8,6,10,7,5,15,0,8,6,8
I,3,11,4,8,2,6,8,0,8,13,7,8,0,8,1,7
C,5,8,7,6,4,7,8,8,6,4,7,13,5,8,4,8
U,5,7,5,5,2,4,8,6,8,9,9,9,3,9,2,4
I,2,8,5,6,5,11,6,1,6,9,4,5,1,7,5,8
U,6,10,9,8,11,9,7,4,5,6,7,7,9,7,6,6
G,2,5,3,3,2,6,7,5,5,9,7,10,2,9,4,9
W,4,6,7,4,4,7,9,4,0,7,9,8,7,12,0,8
F,6,10,9,7,5,4,12,5,5,13,8,4,2,10,2,5
R,4,9,6,7,6,9,7,4,5,10,4,7,3,6,4,10
P,3,9,4,6,2,4,11,9,3,9,6,4,1,10,4,8
A,4,10,6,8,4,7,5,3,1,7,1,8,2,7,2,8
G,7,9,10,8,11,7,7,6,3,7,7,8,8,10,9,9
F,3,8,4,5,1,1,12,5,5,12,10,8,0,8,2,6
O,3,7,4,5,3,7,7,7,3,9,6,9,3,8,3,8
J,3,11,4,8,1,14,2,8,5,14,2,11,0,6,0,8
W,5,7,5,5,4,3,11,2,2,10,8,7,5,11,2,6
O,4,6,6,6,4,8,4,4,4,9,3,9,3,7,4,9
N,4,7,6,5,6,7,8,4,4,7,6,7,5,9,5,4
C,4,10,5,8,2,6,8,7,10,4,6,13,1,7,4,8
K,9,13,10,7,6,4,9,4,6,10,10,11,5,8,4,6
U,4,2,5,3,2,6,9,6,7,7,10,9,3,9,1,8
V,1,1,2,1,0,8,9,4,2,7,13,8,2,10,0,8
F,3,6,5,4,2,6,10,2,6,13,7,5,1,10,2,7
D,3,7,5,5,7,10,8,4,5,7,6,6,4,7,7,5
X,6,10,8,8,7,7,6,3,5,6,6,8,3,9,10,9
S,4,8,5,6,2,7,6,6,9,5,6,10,0,9,9,8
R,4,9,6,6,6,7,7,4,6,7,5,7,3,7,5,8
I,5,15,5,8,3,10,6,2,5,11,4,6,2,9,5,12
W,7,11,7,6,4,4,8,2,2,8,10,8,9,11,1,6
J,5,10,3,14,4,10,7,2,4,10,5,6,3,8,6,10
M,8,9,11,8,13,8,7,4,4,7,6,7,11,8,6,4
C,5,9,6,6,3,5,8,8,9,9,8,13,2,10,4,9
P,6,12,5,7,4,6,11,5,2,11,6,3,3,12,5,5
Y,5,4,6,6,6,9,10,5,3,6,7,7,5,11,7,4
M,5,7,8,5,6,9,7,2,4,9,5,7,7,6,2,8
P,4,10,5,7,3,5,10,10,4,9,6,5,2,10,4,8
X,4,7,6,5,3,7,8,1,8,10,7,8,2,8,3,8
L,4,10,5,7,7,7,7,3,5,7,7,10,6,10,6,6
K,4,5,7,3,4,6,8,1,7,10,7,10,3,8,3,7
U,5,9,7,7,8,10,6,5,5,6,7,6,10,6,6,5
O,3,3,4,5,2,8,7,9,7,7,5,9,3,8,4,8
Y,3,3,5,4,1,7,11,2,2,7,12,8,1,11,0,8
C,2,1,3,2,1,6,8,7,7,8,8,13,1,9,4,10
R,5,5,5,6,3,5,12,8,3,7,2,9,3,7,6,11
H,3,7,5,5,4,7,7,5,6,7,6,9,6,8,3,7
J,3,9,5,7,2,8,6,3,6,15,5,9,1,6,1,6
D,1,3,3,2,1,9,7,4,5,10,4,5,2,8,2,8
F,2,4,4,2,2,6,10,3,5,13,6,5,1,9,1,7
S,4,7,5,5,3,8,8,3,7,10,3,6,2,6,5,9
O,6,10,6,7,4,9,6,8,6,9,4,7,3,8,4,8
F,4,6,6,4,3,6,11,4,5,12,7,5,2,9,2,6
E,3,7,5,6,5,7,6,5,3,7,6,10,5,10,6,11
K,5,9,7,7,5,6,7,5,7,6,6,10,4,8,5,9
J,5,8,6,6,3,7,6,3,6,15,6,10,1,6,0,7
V,5,6,5,4,2,2,12,5,4,12,11,7,2,10,1,7
K,4,8,4,5,2,4,7,8,2,7,6,11,4,8,2,11
Y,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9
O,4,7,6,5,4,7,6,8,5,7,4,8,3,8,3,8
